Primary Filter Tag,Secondary Filter Tag,Organization,Hours of Operation,Address,Town,Zip Code,Phone Number,Website,Coordinates,Additional Details,Delivery Method
Community & Family Services,Community Assistance,American Red Cross,Call First,,,,631-926-6911,https://www.redcross.org/local/new-york/greater-new-york/about-us/locations/long-island.html?srsltid=AfmBOoqsPsbb3_0_L_By6uz1fEu2hVEedPUw6U2jpmFZX1oCbjgv0op1,,,Hotline
Community & Family Services,Community Assistance,Office of the Aging-Elder Services Suffolk,Call First,,,,631-853-8200,https://suffolkcountyny.gov/aging,,,Hotline
Community & Family Services,Community Assistance,Office of the Aging-Elder Services Nassau,Call First,,,,516-227-8900,https://www.nassaucountyny.gov/1438/Aging,,,Hotline
Community & Family Services,Community Assistance,Salvation Army,Call First,,,,631-654-9380,https://www.salvationarmyusa.org/usn/plugins/gdosCenterSearch?start=1,,,Hotline
Community & Family Services,Community Assistance,United Way 2-1-1 Long Island,24/7,,,,211,https://www.unitedwayli.org/211,,You can also text your zip code to 898-211.,Hotline
Community & Family Services,Community Assistance,"Lighthouse Mission (Food, Clothes, Holiday Assistance)",24/7,,,,631-758-7584,"https://www.lighthousemission.com/help-the-homeless#:~:text=Please%20call%20Lighthouse%20Mission%20at,(631)%20854%2D9930.",,,Hotline
Community & Family Services,Community Outreach / Non-Profit,Angels of Long Island,Call First,"350 East Main Street, Unit 23",Patchogue,11772,631-803-6775,https://www.angelsoflongisland.com/,"40.7658377, -73.0083047",Angels of Long Island is a community outreach center that provides support and resources to families in need.  They also have a FREE farmers market and general store that serves by appointment only. ,In-Person
Community & Family Services,Community Outreach / Non-Profit,Ward Melville Heritage Organization,Call First,PO Box 752,Stony Brook,11790,631-751-2244,https://wmho.org/,,"This is a year-round venue providing activities, events and educational programs to families and children.",Virtual
Community & Family Services,Community Outreach / Non-Profit,Angela's House,Call First,,Haupaugge,11788,631-979-2620,https://www.angelashouse.org/,,Angela’s House helps simplify home care options for families by coordinating the extensive array of services needed to support medically frail children at home.,Virtual
Community & Family Services,Community Outreach / Non-Profit,Girl Scouts of Nassau County,Call First,110 Ring Road West,Garden City,11530,516-741-2550,https://www.gsnc.org/,"40.74007, -73.61666",,In-Person
Community & Family Services,Community Outreach / Non-Profit,Girl Scouts of Suffolk County,Call First,442 Moreland Rd,Commack,11725,"631-543-6622, ext. 245",https://www.gssc.us/,"40.80824647732178, -73.27041095779782","The Girl Scouts explore their strengths, take on new challenges, and can always be themselves, regardless of background or ability. They also host community events such as food and clothing drives. ",In-Person
Community & Family Services,Community Outreach / Non-Profit,Health & Welfare Council of Long Island,Call First,110 Walt Whitman Rd Suite 101,Huntington Station,11746,516-483-1110,https://hwcli.com/,"40.831366996430575, -73.4108544188051","The Health and Welfare Council operates a series of programs that address the day-to-day challenges of suburban poverty, including nutritional security, access to healthcare, affordable health insurance and economic security.",In-Person
Community & Family Services,Community Outreach / Non-Profit,Long Island Health Collaborative,Call First,"1383 Veterans Memorial Highway, Suite 26",Haupaugge,11788,631-963-4167,https://www.lihealthcollab.org/,"40.815179975523954, -73.19023970012567","The LIHC (we pronounce it, ""LIKE"") is the hub of population health activities on Long Island. 
It's a coalition that includes Nassau and Suffolk county health departments, every hospital on Long Island, 
health and social service community-based organizations, insurance plans, 
academic institutions, local governments, and other groups 
that are working together toward a healthier Long Island community. ",In-Person
Community & Family Services,Community Outreach / Non-Profit,Boy Scouts Council of Suffolk County,M-F 10:00 AM - 5:00 PM; Sat 10:00 AM - 2:00 PM,1 Independence Hill Suite 202,Farmingville,11738,631-924-7000,https://www.sccbsa.org/,"40.844363999457656, -73.01599521997086","Suffolk County Council, Scouting America provides a comprehensive values-based program that develops character, teaches citizenship, and encourages personal fitness to more than 7500 youth each year. They also host community events such as food drives. ",In-Person
Community & Family Services,Community Outreach / Non-Profit,Association for Mental Health and Wellness,M-F 9:00 AM - 5:00 PM,939 Johnson Avenue,Ronkonkoma,11779,631-471-7242 ext. 2,http://mhaw.org/,"40.80819707747574, -73.12184519222706",Offers a range of services to assist those facing mental health challenges for the first time as well as those pursuing recovery from the impact of psychiatric disabilities.,In-Person
Community & Family Services,Community Outreach / Non-Profit,Family Residences and Essential Enterprises (FREE),M-F 9:00 AM - 5:00 PM,191 Bethpage-Sweet Hollow Rd,Old Bethpage,11804,516-870-1600,https://www.familyres.org/,"40.76038560624579, -73.44199322717222","FREE provides a diverse array of supports and services including: housing, recovery services, transition to work, employment, day, community and family services, respite, crisis services, education and after-school support, primary and specialty health care and advocacy.",In-Person
Community & Family Services,Community Outreach / Non-Profit,Theodore Roosevelt Council,"T 10am-2pm, Th 2pm-6pm, call to make an appointment all other days",544 Broadway,Massapequa,11758,(516) 797-7600,https://trcscouts.org/,"40.68063, -73.46901",Boy Scount Council for Nassau County,In-Person
Community & Family Services,Family and Children's Services ,Middle Country Chamber of Commerce,Call First ,PO Box 65,Centereach,11720,631-681-8708,https://middlecountrychamber.com/,,"To help businesses prosper in the Centereach, Selden, Lake Grove and surrounding areas by supporting the business and civic interests of the Chamber members and the residents of the surrounding community.",Virtual
Community & Family Services,Family and Children's Services ,Child and Family Services Nassau,M - F 8:00 AM- 4:00 PM,60 Charles Lindbergh Boulevard,Uniondale,11553,516-227-8519,https://www.nassaucountyny.gov/1898/Child-Family-Services,"40.7218208, -73.5999739","After-Hours Services:
516-573-8626",Virtual
Community & Family Services,Family and Children's Services ,Family & Children’s Association,Call First,"377 Oak Street, 5th Floor",Garden City,11530,(516) 746-0350,https://www.fcali.org/,,"Family & Children’s Association (FCA) is a non-sectarian, not-for-profit organization that provides help and hope to Long Island’s most vulnerable families, children, seniors, individuals, and communities.",In-Person
Community & Family Services,Family and Children's Services ,Port Jefferson Chamber of Commerce,"Summer Hours:
M – F 11:00 AM - 4:00 PM
Sat-Sun 10:00 AM – 4:00 PM
Winter Hours:
M-F 11:00 AM – 4:00 PM
Sat-Sun Closed after New Year’s until the 3rd week in March.",118 West Broadway,Port Jefferson,11777,631-473-1414,https://portjeffchamber.com/,"40.963264989868115, -73.06672929582182","The Greater Port Jefferson Chamber of Commerce is a member non-profit organization that is dedicated to establishing and maintaining itself as an advocate, voice, and resource for businesses in our community. We provide access to information and promote economic development and commerce.",In-Person
Community & Family Services,Family and Children's Services ,Three Village Chamber of Commerce ,Call First ,286 Main Street ,Setauket - East Setauket,11733,631-689-8838,https://www.3vchamber.com/,"40.94332970727799, -73.10162394133734","The Three Village Chamber of Commerce works hand in hand with business, educational institutions, and government resources within our community, to preserve the quality, character and vitality of our historic Three Village area.",In-Person
Community & Family Services,Family and Children's Services ,Town of Brookhaven Nutrition Program,Call First,1 Independence Hill,Farmingville,11738,631-451-8696,https://www.brookhavenny.gov/283/Nutrition,"40.85021870335186, -73.01825165866447","Residents age 60 and over receive nutritious meals from the Nutrition Program, which provides over 2,700 meals per month through the Home-Delivered Meals program and the three Congregate Dining sites. ",In-Person
Community & Family Services,Servicios en Español,La Línea Nacional de Prevención del Suicidio,24/7,,,,988,https://988lifeline.org/es/inicio/,,,Hotline
Community & Family Services,Servicios en Español,National Human Trafficking 24hr Hotline (Se habla Español),24/7,,,,1-888-373-7888,https://humantraffickinghotline.org/es/obtenga-ayuda,,,Hotline
Community & Family Services,Servicios en Español,CARECEN (Central American Refugee Center) - Brentwood,M-F 9:00 AM - 5:00 PM,"652 Suffolk Avenue
Suite 210",Brentwood,11717,631-273-8721,https://www.carecenny.org/,"40.7797707, -73.2507465","Empodera a los inmigrantes a través de servicios legales, educación comunitaria y defensa",In-Person
Community & Family Services,Servicios en Español,CARECEN (Central American Refugee Center) - Hempstead,M-F 9:00 AM - 5:00 PM,"250 Fulton Ave
Suite 200",Hempstead,11550,516-489-8330,https://www.carecenny.org/,"40.7076942, -73.6262748","Empodera a los inmigrantes a través de servicios legales, educación comunitaria y defensa",In-Person
Community & Family Services,Servicios en Español,Centro Corazon de Maria,M-Th 9:00 AM - 5:00 PM; F 9:00 AM - 4:00 PM,31 East Montauk Highway,Hampton Bays,11946,631-728-5558,https://www.rshm-east.org/ministry/centro-corazon/,"40.879337427250654, -72.52141288649808","Asistencia de inmigración, ailmentos y ropa",In-Person
Community & Family Services,Servicios en Español,SEPA Mujer,Llamar primero,110 N Ocean Avenue,Patchogue,11722,833-762-9832,www.sepamujer.org,"40.76837420298742, -73.01556959204642","Referencias para despensas de alimentos y otros servicios. Ofrece apoyo emocionales y derivaciones a víctimas de agresión sexual, trata de personas, doméstica violencia, crímenes de odio, robo de salarios y violencia de pandillas",In-Person
Community & Family Services,Servicios en Español,Pronto Of Long Island Inc.,Llamar primero,128 Pine Aire Drive,Bay Shore,11706,631-231-8290,http://www.prontolongisland.com/,"40.77347171035541, -73.27307498649807","Asistencia de Inmigración / Ciudadanía, clases de ESL, inmunizaciones infantiles, alimentos y ropa",In-Person
